Sampling Location,Duplicate Sample,Sample Date,Sample Time,Weather Condition (Dry or Wet),Top Sample Temperature (ºC),Bottom Sample Temperature (ºC),Site Actual Depth (ft),Top Sample Depth(ft),Bottom Sample Depth (ft),Top Salinity  (psu),Bottom Salinity  (psu),Top Conductivity (S/m),Bottom Conductivity (S/m),"CTD (conductivity, temperature, depth profiler) Top Dissolved Oxygen (mg/L)","CTD (conductivity, temperature, depth profiler) Bottom Dissolved Oxygen (mg/L)",Percentage O2 Saturation Top Sample,Percentage O2 Saturation Bottom sample,Light Trans (% transparency) Top Sample,Light Trans (% transparency) Bottom Sample,Top Sigma-T (kg/m3),Bottom Sigma-T (kg/m3),Top Fluorometer (mg/m3),Bottom Fluorometer mg/m3,"CTD (conductivity, temperature, depth profiler) PH Top Sample","CTD (conductivity, temperature, depth profiler) PH Bottom Sample",Top Sample Photosysthetically Active Radiation Reference (400-700nm light (uE/S),Top Sample Par (uE/S m2),Bottom Sample Par uE/S (uE/S m2),Oxidation Reduction Potential (mV) Top Sample,Oxidation Reduction Potential (mV) Bottom Sample,Current Speed (knot),Current Direction (Current Direction),Wind Speed (mph),Wind Direction (Wind Direction),Sea State ,Winkler Method Top Dissolved Oxygen (mg/L),Winkler Method Bottom Dissolved Oxygen (mg/L),Secchi Depth (ft),Top PH,Bottom PH,Top Total Coliform Cells/100 mL,Top Bottom Coliform Cells/100 mL,Fecal Coliform Top Sample Less Than or Greater Than Result,Fecal Coliform Bottom Sample Less Than or Greater Than Result,Top Fecal Coliform Bacteria (Cells/100mL),Bottom Fecal Coliform Bacteria (Cells/100mL),Enterococcus Top Sample Less Than or Greater Than Result,Enterococcus Bottom Sample Less Than or Greater Than Result,Top Enterococci Bacteria (Cells/100mL),Bottom Enterococci Bacteria (Cells/100mL),Top Nitrate/Nitrite (mg/L),Bottom Nitrate/Nitrite (mg/L),Top Ammonium (mg/L),Bottom Ammonium (mg/L),Top Ortho-Phosphorus (mg/L),Bottom Ortho-Phosphorus (mg/L),Top Total Kjeldhal Nitrogen (mg/L),Bottom Total Kjeldhal Nitrogen (mg/L),Top Silica (mg/L),Bottom Silica (mg/L),Total Phosphorus(mg/L),Bottom Total Phosphorus (mg/L),Top Total Suspended Solid (mg/L),Bottom Total Suspended Solid (mg/L),Top Active Chlorophyll 'A' (µg/L),Bottom Active Chlorophyll 'A' (µg/L),Chlorophyll Top Sample Field (u/L (YSI),Chlorophyll Bottom Sample Field (u/L (YSI),TOP Total Organic Carbon (mg/L),Top Dissolved Organic Carbon (mg/L),Bottom Dissolved Organic Carbon (mg/L),Top Dissolved Organic Carbon YSI (mg/L),Bottom Dissolved Organic Carbon YSI (mg/L),Top Sample Depth  YSI (ft),Bottom Depth  YSI (ft),Top Sample Salinity YSI (psu),Bottom Sample Salinity YSI (psu),Top Sample Temperature  YSI (ºC),Bottom Sample Temperature YSI (ºC),Top Bacteria # per C.C. 1909,Bottom Bacteria # per C.C. 1909,Top Beam Attenuation Coefficient,Bottom Beam Attenuation Coefficient,Top Five-Day Biochemical Oxygen Demand(mg/L),Bottom Five-Day Biochemical Oxygen Demand(mg/L),Top PCB Plate Count (Thous/mL) ,Bottom PCB plate Count (Thous/mL) ,Top Coliform (Log No/mL),Bottom Coliform (Log No/mL),Oakwood BOD Top Sample (mg/L) ,Oakwood BOD Bottom Sample(mg/L),Oakwood  Total Suspended Solid Top Sample  (mg/L),Oakwood Total Suspended Solid Bottom Sample (mg/L),Top Turbidity( Nephelometric Turbidity Units),Bottom Turbidity YSI (Nephelometric Turbidity Units),Sampling Comment,Long,Lat,Type
E2,,7/24/1997,10:07 AM,,21.12,21.14,48,3.28,45.92,23.8,23.83,3.47,3.48,3.15,3.01,40.73,38.97,69.91,65.26,15.96,15.98,0.64,0.7,,,3.58,4.27,,,,,E,11,E,1,3.75,3.65,3,6.99,6.97,,,,,1340,980,,,,,0.32,,0.503,,0.116,,0.993,,,,0.173,,20,43,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,5/26/2009,1:49 PM,Dry,15.46,14.89,49,3,47,22.27,25.13,2.89,3.18,7.93,8.06,91.11,93.13,,,16.09,18.4,,,,,1824.4,122.16,0,,,0.9,S,19,S,1,9.63,9.84,4,7.64,7.67,,,E,,4,,E,,1,,0.292,,0.306,,0.066,,0.78,,1.06,,0.106,,10.6,8.1,4.7,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,9/1/1938,11:20 AM,,23.3,23.3,40,,,24.5,23.8,,,,,,,,,,,,,,,,,,,,,N,,,,0.89,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0.9,0.85,2,3,,,,,,,,-73.97,40.735333,Permanent
E2,,7/19/1967,9:25 AM,,21.7,21.1,40,,,27.3,26.6,,,,,,,,,,,,,,,,,,,,,S,,,,4.3,2.8,,,,1300,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,6/24/1993,12:49 PM,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,6.05,6,8,7.23,7.26,800,200,,,36,27,,,,,0.2,,0.37,,0.081,,,,,,0.14,,29,32,2.1,,,,,,,,,,,,,,,,,,,,,,,,,0.9,1.1,,,,,,-73.97,40.735333,Permanent
E2,,8/22/1917,10:55 AM,,23.5,23.2,40,,,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/21/2008,1:10 PM,Dry,23.11,22.75,48,4,43,24.57,24.75,3.72,3.72,5.03,5,67.9,67.16,,,16.01,16.25,2.4777,2.4548,,,992.6,67.18,0,,,1.2,S,5,W,1,5.76,5.4,5,7.38,7.51,,,,,5,,,,1,,0.273,,0.319,,0.105,,1.75,,0.978,,0.154,,14.4,20.8,2.08,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,9/17/2012,4:20 PM,Dry,22.16,21.85,47,3,46,25.32,26.02,3.75,3.82,4.42,4.45,58.84,59.21,64.13,43.43,16.84,17.45,8.3621,8.1469,,,1662.7,1197.4,0,217.928,221.52,2.2,S,9,S,2,5.13,4.95,3,7.38,7.4,,,,,20,,E,,10,,0.466,,0.306,,,,0.671,,2.2,,0.192,,13,46,1.76,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,11/13/2012,10:28 AM,Dry,11.92,11.87,52,3,51,22.78,22.88,2.71,2.72,6.87,6.84,73.51,73.1,55.99,53.69,17.14,17.22,5.8311,6.2315,,,410.88,589.8,0,253.946,254.049,1.9,S,3,W,1,8.18,8.2,2,7.4,7.49,,,,,23,,E,,13,,0.458,,0.432,,,,1,,1.9,,0.207,,23,19,1.2,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,6/26/1963,10:25 AM,,22.2,21.7,49,,,23.1,25.55,,,,,,,,,,,,,,,,,,,,,S,,,,2.7,3,,,,240,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/3/1925,10:10 AM,,17.8,17.2,40,,,24.5,24.85,,,,,,,,,,,,,,,,,,,,,S,,,,4.04,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,8/26/2002,10:20 AM,Dry,24.61,24.12,50,4,48,26.62,29.61,4.12,4.49,5.95,5.6,83.41,79.16,,,17.14,19.53,,,,,,,,,,,S,4,N,2,4.15,3.95,6,7.3,7.43,,,,,92,,,,21,,0.414,,0.42,,0.149,,1.09,,1.84,,0.212,,32.8,48.3,1.3,,,,,5.16,,,,,,,,24.6,24.2,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/10/1963,10:40 AM,,19.4,19.4,49,,,27.65,29.05,,,,,,,,,,,,,,,,,,,,,N,,,,2.7,2.9,,,,460,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/27/1958,9:55 AM,,20,20,49,,,26.25,26.95,,,,,,,,,,,,,,,,,,,,,S,,,,2.8,3.1,,,,1100,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,9/3/1946,12:55 PM,,22.2,21.7,49,,,20.3,25.55,,,,,,,,,,,,,,,,,,,,,SL,,,,3.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1.4,0.9,2,2,,,,,,,,-74.03,40.7045,Permanent
E2,,8/4/1925,4:00 PM,,22.2,22.2,40,,,25.55,25.55,,,,,,,,,,,,,,,,,,,,,S,,,,1.36,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,12/13/2004,12:47 PM,Dry,8.55,8.61,49,5,43,16.24,16.54,1.83,1.86,,,67.62,70,42.82,39.99,12.52,12.75,,,,,,,,,,1.4,S,9,W,1,9.08,9.09,2,7.89,7.88,,,,,168,,,,88,,0.483,,0.394,,0.098,,1.2,,2.72,,0.208,,27.25,14.5,1.81,,42.1,,,3.36,,7.11,7.34,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,9/19/1956,10:00 AM,,20,19.4,40,,,24.85,24.85,,,,,,,,,,,,,,,,,,,,,N,,,,2.2,2.5,,,,4,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0.137,,,,,,,,,,-73.97,40.735333,Permanent
N5,,9/25/1933,10:15 AM,,22.2,20.6,49,,,16.1,19.6,,,,,,,,,,,,,,,,,,,,,S,,,,3.74,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,1/14/1987,2:45 PM,,4.6,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,10.1,10,,,,7000,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.1,,,,,,-74.03,40.7045,Permanent
E2,,9/10/1926,11:05 AM,,21.7,21.7,40,,,22.75,22.75,,,,,,,,,,,,,,,,,,,,,N,,,,1.08,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,1/3/2013,9:45 AM,Dry,5.35,5.34,49,3,48,21.61,21.67,2.18,2.19,7.24,7.27,65.97,66.3,56.35,57.84,17.05,17.1,6.4803,7.1731,,,1633.3,1606.6,0,224.023,223.494,1.6,E,7,SW,1,10.33,10.1,2,7.61,7.64,,,,,40,,,,10,,0.407,,0.392,,,,0.822,,2.22,,0.199,,14,16,2.5,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,6/11/1913,1:50 PM,,4.11,,,1,18.4,,,,,,,,,,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/16/1972,10:05 AM,,21.7,21.1,,,,16.1,22.5,,,,,,,,,,,,,,,,,,,,,S,,,,4.2,2.9,,,,49000,130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.8,,,,,,-74.03,40.7045,Permanent
N5,,8/10/1927,10:20 AM,,21.7,21.1,49,,,22.75,25.2,,,,,,,,,,,,,,,,,,,,,SL,,,,2.63,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,6/28/1935,12:35 PM,,22.2,21.1,49,,,21.7,21.7,,,,,,,,,,,,,,,,,,,,,S,,,,2.55,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/29/1960,10:15 AM,,21.1,22.2,40,,,25.55,25.9,,,,,,,,,,,,,,,,,,,,,N,,,,1.3,1.4,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,6/19/1945,1:15 PM,,22.22,20,49,,,5.6,14,,,,,,,,,,,,,,,,,,,,,S,,,,7.7,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,6/12/1985,10:35 AM,,19.2,19,,,,26.5,28,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3,,,,1130000,130000,,,2900,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,0.9,,,,,,-73.97,40.735333,Permanent
N5,,7/16/1986,9:38 AM,,22,20,46,,,16,25,,,,,,,,,,,,,,,,,,,,,S,,,,5.4,4.5,4,7.2,7.4,4900,7900,,,10,10,,,,,0.38,0.26,0.39,0.29,0.13,0.13,,,,,0.18,0.12,,,3,,,,,,,,,,,,,,,,,,,,,,,,,6.9,5.3,,,,,,-74.03,40.7045,Permanent
N5,,9/23/1914,9:46 AM,,22.1,22.2,49,,,29.75,29.75,,,,,,,,,,,,,,,,,,,,,FL,,,,3.18,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/16/1992,1:41 PM,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,5.17,4.31,5.5,7.49,7.41,2000,8000,,,,,,,,,0.27,,0.41,,0.087,,,,,,0.14,,32,35,2.3,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,-73.97,40.735333,Permanent
N5,,7/16/2012,4:56 PM,Dry,25.25,21.9,53,3,50,19.01,27.55,3.08,4.03,5.96,4.89,80.98,65.61,64.44,70.58,11.24,18.6,13.0628,4.3912,7.89,7.8,784.93,745.94,0.01,188.083,191.5,1.5,S,10,NW,1,6.16,5.23,2,7.62,7.55,,,,,164,,,,23,,0.246,,0.252,,,,0.994,,0.492,,0.121,,6,10,3.9,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,9/11/1930,2:00 PM,,23.9,22.8,49,,,26.25,28,,,,,,,,,,,,,,,,,,,,,S,,,,2.85,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/23/1950,8:50 AM,,22.2,22.2,40,,,26.6,26.6,,,,,,,,,,,,,,,,,,,,,S,,,,1.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0.4,0.37,3,2,,,,,,,,-73.97,40.735333,Permanent
E2,,7/24/1919,11:00 AM,,21.5,21.5,40,,,23.1,23.45,,,,,,,,,,,,,,,,,,,,,EB,,,,0.39,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/5/1945,1:40 PM,,21.67,20.56,40,,,24.15,24.5,,,,,,,,,,,,,,,,,,,,,N,,,,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,12/6/1995,12:49 PM,,9.5,9.3,42,,,22.5,23.4,25.1,23.3,,,,,,,,,,,,,,,,,,,W,3,N,1,8.23,8.36,3,7.47,7.51,,,,,,,,,,,,,,,,,,,,,,,12,44,,,,,,,,,,,,,,,,,,,,1.6,1.8,,,,,,,,,8.5,13.1,,-73.97,40.735333,Permanent
N5,,6/18/2012,5:29 PM,Dry,22,20.62,50,3,49,11.83,23.78,1.87,3.43,5.39,5.06,65.98,64.82,,,6.7,16.07,9.9708,3.5878,,,,,,,,slk,,13,S,2,7.3,6.32,2.5,7.5,7.52,,,,,224,,,,5,,0.47,,0.188,,,,1.037,,2.37,,0.092,,9,9,4.1,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,4/17/1996,1:32 PM,,8.1,7.6,48,,,7.58,19.6,0.9,2.14,,,,,,,,,,,,,,,,,,,S,12,W,3,9.71,9.52,1.5,7.42,7.73,,,,,,,,,,,0.63,,0.36,,0.06,,0.903,,,,0.12,,27,95,2.2,,,,,,,,,,,,,,,,,,,1.8,3.3,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/14/1924,10:05 AM,,22.8,22.2,49,,,26.6,27.65,,,,,,,,,,,,,,,,,,,,,SL,,,,2.45,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,8/22/2016,10:02 AM,Wet,25.86,24.91,52,3,53,21.55,25.54,3.5,4,4.3,4.15,59.7,57.9,60.9,40.9,12.96,16.24,1.67,2.21,7.51,7.53,2324,1233,0,308.48,312.22,0,0,16,NNW,1,4.26,4.25,2.5,7.51,7.56,,,,,84,,E,,24,,0.325,,0.358,,,,0.827,,1.704,1.71,0.147,,23,35,2.55,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/16/1931,1:50 PM,,25.6,25,40,,,22.75,23.1,,,,,,,,,,,,,,,,,,,,,S,,,,0.51,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/18/1928,10:20 AM,,23.9,22.2,49,,,17.15,22.4,,,,,,,,,,,,,,,,,,,,,N,,,,2.53,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/30/1969,11:00 AM,,22.8,22.8,,,,25,25,,,,,,,,,,,,,,,,,,,,,N,,,,3.5,2.4,,,,79000,110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4,,,,,,-74.03,40.7045,Permanent
N5,,9/21/1959,9:50 AM,,20,19.4,49,,,26.25,27.65,,,,,,,,,,,,,,,,,,,,,N,,,,3.4,3,,,,1100,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/17/1935,12:30 PM,,23.9,23.3,49,,,17.85,19.95,,,,,,,,,,,,,,,,,,,,,S,,,,2.45,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,9/15/1937,11:15 AM,,21.7,21.7,40,,,24.15,24.15,,,,,,,,,,,,,,,,,,,,,S,,,,2.07,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/16/1969,10:05 AM,,22.8,22.8,,,,24.4,25,,,,,,,,,,,,,,,,,,,,,N,,,,1.7,2.3,,,,49000,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,2.3,,,,,,-73.97,40.735333,Permanent
E2,,8/31/1932,1:30 PM,,24.4,23.9,40,,,28,27.65,,,,,,,,,,,,,,,,,,,,,S,,,,0.79,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,7/20/1949,1:50 PM,,27.2,25.6,40,,,27.65,25.9,,,,,,,,,,,,,,,,,,,,,N,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/1/1959,9:35 AM,,21.1,20.6,49,,,22.75,28.7,,,,,,,,,,,,,,,,,,,,,S,,,,4.4,4.4,,,,1100,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/7/1919,2:05 PM,,21,21,40,,,24.15,24.15,,,,,,,,,,,,,,,,,,,,,FL,,,,1.24,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,D,7/27/2009,,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,4.65,2.5,,,,,,,,,,,87,,0.318,,0.37,,,,0.603,,1.18,,0.151,,14.2,15.2,1.4,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,8/19/1987,10:50 AM,,25.3,25.2,40,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,2.2,2.1,8.5,7.34,7.33,2000,2000,,,12,49,,,,,0.4,0.38,0.47,0.47,0.16,0.16,,,,,0.22,0.24,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,-73.97,40.735333,Permanent
N5,,7/1/1964,10:10 AM,,21.7,20.6,49,,,25.2,26.25,,,,,,,,,,,,,,,,,,,,,S,,,,3.3,2.7,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/26/1926,2:05 PM,,22.8,22.8,40,,,23.8,24.5,,,,,,,,,,,,,,,,,,,,,S,,,,0.3,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/24/1984,11:12 AM,,22.8,19.4,,,,15.1,24.6,,,,,,,,,,,,,,,,,,,,,S,,,,6.8,4.7,,,,13000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2,,,,,,-74.03,40.7045,Permanent
N5,,7/24/1984,11:12 AM,,22.8,19.4,,,,15.1,24.6,,,,,,,,,,,,,,,,,,,,,S,,,,6.8,4.7,,,,13000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2,,,,,,-74.03,40.7045,Permanent
N5,,8/22/1996,1:42 PM,,23.69,22.5,52,3.28,55.76,17.87,25.14,2.82,3.75,4.95,4.91,64.92,65.66,59.25,63.41,10.81,16.61,11.17,15.82,,,5.23,4.55,,,,,N,12,S/W,2,4.95,5.55,3.5,7.3,7.54,2400,80,,,291,7,,,,,0.409,,0.333,,0.105,,0.764,,,,0.154,,10,26,3.6,,,,,,,,,,,,,,,,,,,1.1,1.4,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/16/1947,1:40 PM,,22.2,22.2,40,,,25.9,26.6,,,,,,,,,,,,,,,,,,,,,S,,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1.8,1.8,1,1,,,,,,,,-73.97,40.735333,Permanent
N5,,9/28/1911,8:30 AM,,20,,,1,,,,,,,,,,,,,,,,,,,,,,,,Ebb,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/1/1937,10:55 AM,,21.7,21.7,40,,,23.45,23.45,,,,,,,,,,,,,,,,,,,,,N,,,,0.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
N5,,7/20/1911,9:16 AM,,,23,,,20,,,,,,,,,,,,,,,,,,,,,,,Ebb,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/20/1949,1:20 PM,,27.2,26.7,49,,,20.65,25.9,,,,,,,,,,,,,,,,,,,,,S,,,,1.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,7/25/1945,1:30 PM,,23.89,23.33,49,,,12.25,21.35,,,,,,,,,,,,,,,,,,,,,S,,,,3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,8/4/2008,1:15 PM,Dry,23.38,23.15,49,4,46,22.2,22.41,3.41,3.43,4.75,4.62,63.54,61.57,,,14.16,14.38,2.4658,2.4144,,,1190.3,94.14,0,,,0.7,EBB,9,NLY,CALM,5.84,4.04,3.5,7.28,7.29,,,,,,,,,2,,0.292,,0.308,,0.116,,0.781,,1.31,,0.158,,20.8,23.2,2.38,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,Fecal Top sample is questionable,-73.97,40.735333,Permanent
N5,,5/29/1997,2:07 PM,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,N,14,S,2,7.94,7.87,2,7.57,7.68,,,,,,,,,,,0.337,,0.333,,0.07,,0.704,,,,0.12,,24,42,5.3,,,,,,,,,,,,,,,,,,,2.6,3.2,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,1/14/1987,10:20 AM,,4.7,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,9.6,9.4,,,,1300,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.2,,,,,,-73.97,40.735333,Permanent
N5,,3/27/1996,1:53 PM,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,S,5,N,1,13.16,11.65,1,7.66,7.83,,,,,,,,,,,0.69,,0.26,,0.036,,0.72,,,,0.1,,35,14,1.7,,,,,,,,,,,,,,,,,,,1.7,2.4,,,,,,,,,,,,-74.03,40.7045,Permanent
N5,,6/20/1934,9:50 AM,,20,19.4,49,,,15.75,23.45,,,,,,,,,,,,,,,,,,,,,S,,,,4.24,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.03,40.7045,Permanent
E2,,7/18/1934,11:00 AM,,22.8,22.2,40,,,25.2,24.85,,,,,,,,,,,,,,,,,,,,,N,,,,0.07,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
E2,,6/24/1941,,,20.6,20.6,40,,,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,,1.86,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.97,40.735333,Permanent
